landmark_checklist: 5 seeds x 15000 steps x 100-eval, coef=0.05

[baseline] starting seed=1000 (15000 steps)...
  [seed=1000] step=13200/15000 avg_step=18.3ms elapsed=242s eta=33s eval(20)=0.400
  [seed=1000] step=13400/15000 avg_step=18.4ms elapsed=246s eta=29s eval(20)=0.400
  [seed=1000] step=13600/15000 avg_step=18.4ms elapsed=250s eta=26s eval(20)=0.400
  [seed=1000] step=13800/15000 avg_step=18.4ms elapsed=254s eta=22s eval(20)=0.400
  [seed=1000] step=14000/15000 avg_step=18.4ms elapsed=258s eta=18s eval(20)=0.400
  [seed=1000] step=14200/15000 avg_step=18.4ms elapsed=261s eta=15s eval(20)=0.400
  [seed=1000] step=14400/15000 avg_step=18.4ms elapsed=265s eta=11s eval(20)=0.400
  [seed=1000] step=14600/15000 avg_step=18.4ms elapsed=269s eta=7s eval(20)=0.400
  [seed=1000] step=14800/15000 avg_step=18.4ms elapsed=273s eta=4s eval(20)=0.400
  [seed=1000] step=15000/15000 avg_step=18.5ms elapsed=277s eta=0s eval(20)=0.400
[baseline] seed=1000 done: old_style=0.3333 eval_acc(100)=0.3700
[baseline] starting seed=1001 (15000 steps)...
  [seed=1001] step=200/15000 avg_step=9.1ms elapsed=2s eta=135s eval(20)=0.250
  [seed=1001] step=400/15000 avg_step=9.4ms elapsed=4s eta=138s eval(20)=0.200
  [seed=1001] step=600/15000 avg_step=10.3ms elapsed=6s eta=148s eval(20)=0.200
  [seed=1001] step=800/15000 avg_step=11.2ms elapsed=9s eta=160s eval(20)=0.250
  [seed=1001] step=1000/15000 avg_step=11.8ms elapsed=12s eta=165s eval(20)=0.250
  [seed=1001] step=1200/15000 avg_step=12.9ms elapsed=16s eta=178s eval(20)=0.400
  [seed=1001] step=1400/15000 avg_step=13.7ms elapsed=19s eta=187s eval(20)=0.500
  [seed=1001] step=1600/15000 avg_step=14.3ms elapsed=23s eta=192s eval(20)=0.500
  [seed=1001] step=1800/15000 avg_step=14.8ms elapsed=27s eta=195s eval(20)=0.550
  [seed=1001] step=2000/15000 avg_step=15.1ms elapsed=30s eta=197s eval(20)=0.500
  [seed=1001] step=2200/15000 avg_step=15.4ms elapsed=34s eta=198s eval(20)=0.600
  [seed=1001] step=2400/15000 avg_step=15.7ms elapsed=38s eta=198s eval(20)=0.600
  [seed=1001] step=2600/15000 avg_step=15.9ms elapsed=41s eta=198s eval(20)=0.650
  [seed=1001] step=2800/15000 avg_step=16.1ms elapsed=45s eta=197s eval(20)=0.700
  [seed=1001] step=3000/15000 avg_step=16.3ms elapsed=49s eta=195s eval(20)=0.650
  [seed=1001] step=3200/15000 avg_step=16.4ms elapsed=53s eta=194s eval(20)=0.650
  [seed=1001] step=3400/15000 avg_step=16.5ms elapsed=56s eta=192s eval(20)=0.700
  [seed=1001] step=3600/15000 avg_step=16.7ms elapsed=60s eta=190s eval(20)=0.650
  [seed=1001] step=3800/15000 avg_step=16.7ms elapsed=64s eta=188s eval(20)=0.600
  [seed=1001] step=4000/15000 avg_step=16.8ms elapsed=67s eta=185s eval(20)=0.700
  [seed=1001] step=4200/15000 avg_step=17.0ms elapsed=71s eta=184s eval(20)=0.650
  [seed=1001] step=4400/15000 avg_step=17.1ms elapsed=75s eta=181s eval(20)=0.700
  [seed=1001] step=4600/15000 avg_step=17.1ms elapsed=79s eta=178s eval(20)=0.750
  [seed=1001] step=4800/15000 avg_step=17.2ms elapsed=83s eta=175s eval(20)=0.750
  [seed=1001] step=5000/15000 avg_step=17.3ms elapsed=86s eta=173s eval(20)=0.700
  [seed=1001] step=5200/15000 avg_step=17.3ms elapsed=90s eta=170s eval(20)=0.650
  [seed=1001] step=5400/15000 avg_step=17.4ms elapsed=94s eta=167s eval(20)=0.650
  [seed=1001] step=5600/15000 avg_step=17.4ms elapsed=97s eta=163s eval(20)=0.700
  [seed=1001] step=5800/15000 avg_step=17.5ms elapsed=101s eta=161s eval(20)=0.700
  [seed=1001] step=6000/15000 avg_step=17.5ms elapsed=105s eta=158s eval(20)=0.700
  [seed=1001] step=6200/15000 avg_step=17.5ms elapsed=109s eta=154s eval(20)=0.700
  [seed=1001] step=6400/15000 avg_step=17.6ms elapsed=112s eta=151s eval(20)=0.750
  [seed=1001] step=6600/15000 avg_step=17.6ms elapsed=116s eta=148s eval(20)=0.750
  [seed=1001] step=6800/15000 avg_step=17.6ms elapsed=120s eta=145s eval(20)=0.650
  [seed=1001] step=7000/15000 avg_step=17.7ms elapsed=124s eta=142s eval(20)=0.600
  [seed=1001] step=7200/15000 avg_step=17.7ms elapsed=128s eta=138s eval(20)=0.550
  [seed=1001] step=7400/15000 avg_step=17.8ms elapsed=131s eta=135s eval(20)=0.500
