
=== superposition_multi_digit_probe.py run started 2026-08-18T18:14:40.306628 ===
WIDTH_CONFIGS={5: 16000, 20: 64000} DENSITY=0.05 LR=0.02
  hw  n_steps  baseline  multi_digit_stoch  multi_digit_det      fp32  md_stoch_beats_base
--- hidden_width=5 n_features=20 n_steps=16000 decay=0.9000 baseline=0.0782 ---
  hw=  5 multi_digit_stoch step=  15860/16000 current=0.0990 best=0.0990 elapsed=35.8s
  hw=  5 multi_digit_stoch step=  16000/16000 current=0.0987 best=0.0987 elapsed=36.1s
  hw=  5 multi_digit_det  step=      0/16000 current=0.1966 best=0.1966 elapsed=0.0s
  hw=  5 multi_digit_det  step=    260/16000 current=0.1652 best=0.1652 elapsed=0.7s
  hw=  5 multi_digit_det  step=    520/16000 current=0.1530 best=0.1530 elapsed=1.3s
  hw=  5 multi_digit_det  step=    780/16000 current=0.1447 best=0.1447 elapsed=1.9s
  hw=  5 multi_digit_det  step=   1040/16000 current=0.1387 best=0.1387 elapsed=2.4s
  hw=  5 multi_digit_det  step=   1300/16000 current=0.1351 best=0.1351 elapsed=3.0s
  hw=  5 multi_digit_det  step=   1560/16000 current=0.1331 best=0.1331 elapsed=3.5s
  hw=  5 multi_digit_det  step=   1820/16000 current=0.1319 best=0.1319 elapsed=4.0s
  hw=  5 multi_digit_det  step=   2080/16000 current=0.1309 best=0.1309 elapsed=4.6s
  hw=  5 multi_digit_det  step=   2340/16000 current=0.1299 best=0.1299 elapsed=5.1s
  hw=  5 multi_digit_det  step=   2600/16000 current=0.1291 best=0.1291 elapsed=5.7s
  hw=  5 multi_digit_det  step=   2860/16000 current=0.1287 best=0.1287 elapsed=6.3s
  hw=  5 multi_digit_det  step=   3120/16000 current=0.1283 best=0.1283 elapsed=6.8s
  hw=  5 multi_digit_det  step=   3380/16000 current=0.1279 best=0.1279 elapsed=7.4s
  hw=  5 multi_digit_det  step=   3640/16000 current=0.1276 best=0.1276 elapsed=7.9s
  hw=  5 multi_digit_det  step=   3900/16000 current=0.1274 best=0.1274 elapsed=8.4s
  hw=  5 multi_digit_det  step=   4160/16000 current=0.1271 best=0.1271 elapsed=9.0s
  hw=  5 multi_digit_det  step=   4420/16000 current=0.1268 best=0.1268 elapsed=9.5s
  hw=  5 multi_digit_det  step=   4680/16000 current=0.1267 best=0.1267 elapsed=10.1s
  hw=  5 multi_digit_det  step=   4940/16000 current=0.1265 best=0.1265 elapsed=10.7s
  hw=  5 multi_digit_det  step=   5200/16000 current=0.1264 best=0.1264 elapsed=11.2s
  hw=  5 multi_digit_det  step=   5460/16000 current=0.1263 best=0.1263 elapsed=11.8s
  hw=  5 multi_digit_det  step=   5720/16000 current=0.1262 best=0.1262 elapsed=12.3s
  hw=  5 multi_digit_det  step=   5980/16000 current=0.1261 best=0.1261 elapsed=12.9s
  hw=  5 multi_digit_det  step=   6240/16000 current=0.1260 best=0.1260 elapsed=13.4s
  hw=  5 multi_digit_det  step=   6500/16000 current=0.1260 best=0.1259 elapsed=14.0s
  hw=  5 multi_digit_det  step=   6760/16000 current=0.1259 best=0.1259 elapsed=14.5s
  hw=  5 multi_digit_det  step=   7020/16000 current=0.1258 best=0.1258 elapsed=15.1s
  hw=  5 multi_digit_det  step=   7280/16000 current=0.1257 best=0.1257 elapsed=15.6s
  hw=  5 multi_digit_det  step=   7540/16000 current=0.1256 best=0.1256 elapsed=16.2s
  hw=  5 multi_digit_det  step=   7800/16000 current=0.1255 best=0.1255 elapsed=16.7s
  hw=  5 multi_digit_det  step=   8060/16000 current=0.1255 best=0.1255 elapsed=17.3s
